"AGE","STAGE","YEARS","CD_CIF"
"(79,84]","Regional",0,5.89764894463514
"(79,84]","Regional",1,5.89764894463514
"(79,84]","Regional",2,5.89764894463514
"(79,84]","Regional",3,5.89764894463514
"(79,84]","Regional",4,5.89764894463514
"(79,84]","Regional",5,5.89764894463514
"(79,84]","Regional",6,5.89764894463514
"(79,84]","Regional",7,5.89764894463514
"(79,84]","Regional",8,5.89764894463514
"(79,84]","Regional",9,5.89764894463514
"(79,84]","Regional",10,5.89764894463514
"(79,84]","Distant",0,5.95394266411146
"(79,84]","Distant",1,5.95394266411146
"(79,84]","Distant",2,5.95394266411146
"(79,84]","Distant",3,5.95394266411146
"(79,84]","Distant",4,5.95394266411146
"(79,84]","Distant",5,5.95394266411146
"(79,84]","Distant",6,5.95394266411146
"(79,84]","Distant",7,5.95394266411146
"(79,84]","Distant",8,5.95394266411146
"(79,84]","Distant",9,5.95394266411146
"(79,84]","Distant",10,5.95394266411146
