,Distant Rate,Localized Rate,Regional Rate,Unknown/unstaged Rate,Age,LRD Rate,LRDU Rate,pLocal,pRegional,pDistant,LocalU,RegionalU,DistantU,LRDU Rate Smoothed
31,0.059258,0.07901,0.027654,0.003951,31,0.165922,0.3057714,0.4761876062246116,0.16666867564277194,0.35714371813261653,0.14560455101794822,0.05096251428743628,0.10920433469461555,0.33012041473118875
32,0.102512,0.039428,0.078856,0.003943,32,0.220796,0.4045302,0.17857207558107938,0.35714415116215875,0.46428377325676196,0.07223779744922916,0.14447559489845832,0.18781680765231257,0.38098133283262064
33,0.106799,0.090977,0.055377,0.007911,33,0.253153,0.46991520000000003,0.35937555549410827,0.21874913589805375,0.42187530860783795,0.168876036035125,0.10279354394536111,0.1982456200195139,0.4341952608070129
34,0.134689,0.035653,0.071306,0.007923,34,0.241648,0.4492278,0.14754105144673244,0.29508210289346487,0.5573768456598027,0.06627954195110243,0.13255908390220486,0.2503891741466927,0.4948091690215815
35,0.229268,0.047435,0.059293,0.0,35,0.33599599999999996,0.6047927999999999,0.14117727591995144,0.1764693627305087,0.6823533613495399,0.085383,0.10672739999999999,0.4126824,0.5765019746233817
36,0.256311,0.051262,0.090695,0.01183,36,0.398268,0.7381764000000001,0.12871232436449828,0.22772354294093422,0.6435641326945675,0.09501240023501764,0.16810014512338425,0.47506385464159817,0.6845015439368456
37,0.224564,0.070915,0.074855,0.015759,37,0.37033400000000005,0.6949674000000001,0.1914893042496773,0.20212834900387217,0.6063823467464504,0.1330788239022072,0.14047261317351364,0.4214159629242792,0.8326969424684089
38,0.342656,0.051201,0.177236,0.019693,38,0.5710930000000001,1.0634148,0.08965439954613347,0.31034525024820825,0.6000003502056582,0.09533981536247162,0.33002573222364834,0.6380492524138801,1.0424958576645658
39,0.440769,0.062967,0.177095,0.011806,39,0.680831,1.2467466,0.09248550668227504,0.26011594654179965,0.6473985467759253,0.11530599100540369,0.3242986719567705,0.8071419370378259,1.3012828075807363
40,0.568323,0.086827,0.284161,0.03552,40,0.939311,1.7546958000000001,0.09243690321948747,0.30252067739012956,0.605042419390383,0.16219864584424115,0.5308317620296154,1.0616653921261436,1.5886858830789543
41,0.617387,0.11404,0.31066,0.023594,41,1.042087,1.9182257999999999,0.10943424109503333,0.2981133053190377,0.592452453585929,0.20991958467191318,0.5718486335862553,1.1364575817418314,1.8821034628022197
42,0.743523,0.094416,0.369794,0.027538,42,1.2077330000000002,2.2234878000000005,0.07817621941273442,0.30618853670471863,0.6156352438825469,0.1738238701143382,0.6808064758627942,1.368857454022868,2.2050500537721924
43,0.822827,0.137794,0.322832,0.027559,43,1.283453,2.3598215999999996,0.10736193689990986,0.2515339478734321,0.6411041152266581,0.2533550177142443,0.593575243324999,1.5128913389607566,2.6045356638633868
44,1.122343,0.130413,0.466325,0.035567,44,1.719081,3.1583664000000002,0.07586204489491769,0.27126412309832987,0.6528738320067524,0.23960013363139956,0.8567514919192291,2.0620147744493718,3.1179388193964335
45,1.317088,0.13885,0.59507,0.079343,45,2.051008,3.8346318000000004,0.06769841950884638,0.2901353870877149,0.6421661934034387,0.2595985122583627,1.112562381631861,2.4624709061097767,3.7169244089332376
46,1.497499,0.17035,0.740826,0.071309,46,2.4086749999999997,4.4639712,0.0707235305717874,0.307565777865424,0.6217106915627887,0.31570780363477846,1.37296477449685,2.7752986218683713,4.375636153151249
47,1.797825,0.21431,0.742149,0.095249,47,2.754284,5.129159400000001,0.07780969573217576,0.2694526054684266,0.6527376987993976,0.39909833227582925,1.3820653641928717,3.3479957035312995,5.111045786422158
48,1.9236,0.246922,0.971756,0.055757,48,3.142278,5.756463,0.07858057116525018,0.30925207763285106,0.6121673512018987,0.4523461504316295,1.7801981425666347,3.5239187070017355,5.975065128263342
49,2.463724,0.21129,1.11625,0.063786,49,3.791264,6.93909,0.055730753648387456,0.29442687188230626,0.6498423744693063,0.38672071533398894,2.0430545624097927,4.509314722256218,7.015476524827664
50,2.882367,0.275669,1.30943,0.154051,50,4.467466,8.3187306,0.06170589770576877,0.29310351774361576,0.6451905845506155,0.5133147394454485,2.4382492020214594,5.367166658533093,8.21344222053204
51,3.27488,0.273247,1.639479,0.106036,51,5.187606,9.528555599999999,0.05267304417490458,0.31603768674799126,0.6312892690771041,0.5018980300418343,3.0113826698736177,6.015274900084547,9.520205899214389
52,3.976542,0.38937,1.752164,0.11184,52,6.118076,11.213848800000001,0.06364255690841368,0.2863913426377835,0.6499661004538028,0.7136780104163465,3.2115492139690973,7.288621575614556,10.91223386570047
53,4.197301,0.33345,2.129912,0.187566,53,6.6606630000000004,12.3268122,0.05006258385989503,0.31977477317198,0.630162642968125,0.6171120694876772,3.941803575188596,7.767896555323728,12.397442576023893
